date,view facebook profile without being friends,how to change facebook privacy settings
2011-01-01,7,21
2011-02-01,7,14
2011-03-01,3,24
2011-04-01,3,13
2011-05-01,6,18
2011-06-01,18,20
2011-07-01,14,20
2011-08-01,8,24
2011-09-01,5,66
2011-10-01,8,62
2011-11-01,9,50
2011-12-01,5,44
2012-01-01,2,38
2012-02-01,5,55
2012-03-01,7,47
2012-04-01,3,59
2012-05-01,4,46
2012-06-01,5,42
2012-07-01,6,52
2012-08-01,7,75
2012-09-01,5,100
2012-10-01,3,88
2012-11-01,3,72
2012-12-01,4,70
2013-01-01,5,50
2013-02-01,6,53
2013-03-01,4,51
2013-04-01,4,45
2013-05-01,4,43
2013-06-01,12,53
2013-07-01,5,54
2013-08-01,9,44
2013-09-01,7,49
2013-10-01,4,44
2013-11-01,6,41
2013-12-01,8,44
2014-01-01,3,36
2014-02-01,6,28
2014-03-01,6,33
2014-04-01,2,42
2014-05-01,6,38
2014-06-01,6,40
2014-07-01,7,35
2014-08-01,6,49
2014-09-01,7,32
2014-10-01,7,40
2014-11-01,6,30
2014-12-01,4,30
2015-01-01,6,34
2015-02-01,4,28
2015-03-01,4,28
2015-04-01,7,33
2015-05-01,6,35
2015-06-01,2,36
2015-07-01,7,33
2015-08-01,4,37
2015-09-01,6,30
2015-10-01,5,28
2015-11-01,7,35
2015-12-01,4,31
2016-01-01,7,37
2016-02-01,4,31
2016-03-01,6,26
2016-04-01,5,25
2016-05-01,7,27
2016-06-01,4,30
2016-07-01,7,37
2016-08-01,4,36
2016-09-01,7,31
2016-10-01,7,26
2016-11-01,5,29
2016-12-01,7,30
2017-01-01,6,33
