date,How do I delete my twitter account,how to delete a twitter account
2011-01-01,5,8
2011-02-01,4,12
2011-03-01,5,19
2011-04-01,3,13
2011-05-01,6,16
2011-06-01,7,19
2011-07-01,9,30
2011-08-01,5,24
2011-09-01,7,21
2011-10-01,6,31
2011-11-01,8,37
2011-12-01,11,40
2012-01-01,10,44
2012-02-01,16,39
2012-03-01,12,40
2012-04-01,12,38
2012-05-01,12,43
2012-06-01,14,53
2012-07-01,15,64
2012-08-01,16,70
2012-09-01,15,60
2012-10-01,9,57
2012-11-01,13,57
2012-12-01,21,64
2013-01-01,19,71
2013-02-01,18,74
2013-03-01,17,57
2013-04-01,20,46
2013-05-01,25,56
2013-06-01,17,63
2013-07-01,21,56
2013-08-01,28,62
2013-09-01,29,60
2013-10-01,20,58
2013-11-01,14,54
2013-12-01,15,63
2014-01-01,23,74
2014-02-01,38,74
2014-03-01,30,74
2014-04-01,11,61
2014-05-01,14,62
2014-06-01,22,68
2014-07-01,27,82
2014-08-01,24,80
2014-09-01,23,63
2014-10-01,21,73
2014-11-01,24,73
2014-12-01,24,72
2015-01-01,30,87
2015-02-01,19,78
2015-03-01,17,66
2015-04-01,20,62
2015-05-01,32,71
2015-06-01,27,100
2015-07-01,14,74
2015-08-01,20,69
2015-09-01,29,66
2015-10-01,23,77
2015-11-01,14,70
2015-12-01,13,68
2016-01-01,24,71
2016-02-01,22,50
2016-03-01,16,64
2016-04-01,13,66
2016-05-01,12,67
2016-06-01,16,65
2016-07-01,28,72
2016-08-01,19,68
2016-09-01,11,60
2016-10-01,12,61
2016-11-01,22,59
2016-12-01,18,59
2017-01-01,18,80
