date,can imo video calls be hacked,skype privacy policy
2011-01-01,0,58
2011-02-01,0,68
2011-03-01,0,41
2011-04-01,0,44
2011-05-01,0,62
2011-06-01,0,64
2011-07-01,0,70
2011-08-01,0,78
2011-09-01,0,90
2011-10-01,0,36
2011-11-01,0,49
2011-12-01,0,36
2012-01-01,0,100
2012-02-01,0,86
2012-03-01,0,54
2012-04-01,0,34
2012-05-01,0,95
2012-06-01,0,66
2012-07-01,0,32
2012-08-01,0,95
2012-09-01,0,32
2012-10-01,0,59
2012-11-01,0,86
2012-12-01,0,29
2013-01-01,0,53
2013-02-01,0,78
2013-03-01,0,91
2013-04-01,0,66
2013-05-01,0,51
2013-06-01,0,26
2013-07-01,0,35
2013-08-01,0,34
2013-09-01,0,76
2013-10-01,0,24
2013-11-01,0,65
2013-12-01,0,99
2014-01-01,0,46
2014-02-01,0,25
2014-03-01,0,45
2014-04-01,0,23
2014-05-01,0,94
2014-06-01,0,91
2014-07-01,0,42
2014-08-01,0,42
2014-09-01,0,41
2014-10-01,0,39
2014-11-01,0,36
2014-12-01,0,39
2015-01-01,0,36
2015-02-01,0,71
2015-03-01,0,43
2015-04-01,0,37
2015-05-01,21,36
2015-06-01,22,73
2015-07-01,32,65
2015-08-01,21,43
2015-09-01,21,76
2015-10-01,20,20
2015-11-01,20,34
2015-12-01,21,41
2016-01-01,19,52
2016-02-01,18,45
2016-03-01,18,27
2016-04-01,19,31
2016-05-01,18,36
2016-06-01,31,47
2016-07-01,19,44
2016-08-01,19,68
2016-09-01,74,74
2016-10-01,23,26
2016-11-01,29,53
2016-12-01,35,53
2017-01-01,50,45
