date,how to tell if your iphone is tapped,delete hangout history
2011-01-01,0,0
2011-02-01,14,0
2011-03-01,12,12
2011-04-01,12,0
2011-05-01,12,0
2011-06-01,12,0
2011-07-01,13,0
2011-08-01,12,0
2011-09-01,12,0
2011-10-01,11,0
2011-11-01,33,0
2011-12-01,11,0
2012-01-01,10,0
2012-02-01,10,0
2012-03-01,10,0
2012-04-01,15,0
2012-05-01,29,0
2012-06-01,20,10
2012-07-01,29,10
2012-08-01,29,10
2012-09-01,39,9
2012-10-01,13,9
2012-11-01,44,9
2012-12-01,9,18
2013-01-01,12,16
2013-02-01,18,8
2013-03-01,24,8
2013-04-01,16,8
2013-05-01,16,27
2013-06-01,12,44
2013-07-01,20,63
2013-08-01,27,62
2013-09-01,23,46
2013-10-01,18,61
2013-11-01,26,37
2013-12-01,18,55
2014-01-01,14,76
2014-02-01,26,87
2014-03-01,31,64
2014-04-01,14,66
2014-05-01,19,91
2014-06-01,24,75
2014-07-01,11,80
2014-08-01,27,57
2014-09-01,18,80
2014-10-01,14,87
2014-11-01,14,71
2014-12-01,11,63
2015-01-01,13,76
2015-02-01,11,100
2015-03-01,16,65
2015-04-01,13,83
2015-05-01,36,65
2015-06-01,7,56
2015-07-01,36,82
2015-08-01,19,96
2015-09-01,28,73
2015-10-01,9,39
2015-11-01,15,62
2015-12-01,31,78
2016-01-01,38,85
2016-02-01,12,50
2016-03-01,16,60
2016-04-01,11,51
2016-05-01,22,44
2016-06-01,17,40
2016-07-01,32,40
2016-08-01,8,45
2016-09-01,17,28
2016-10-01,26,32
2016-11-01,13,37
2016-12-01,43,27
2017-01-01,30,37
