date,how to hide internet activity on iphone,most private browser
2011-01-01,0,0
2011-02-01,0,58
2011-03-01,0,35
2011-04-01,0,35
2011-05-01,0,35
2011-06-01,0,18
2011-07-01,0,18
2011-08-01,0,42
2011-09-01,0,25
2011-10-01,0,62
2011-11-01,0,16
2011-12-01,0,46
2012-01-01,0,43
2012-02-01,0,52
2012-03-01,0,55
2012-04-01,0,29
2012-05-01,0,20
2012-06-01,0,21
2012-07-01,0,35
2012-08-01,0,55
2012-09-01,0,14
2012-10-01,0,49
2012-11-01,0,13
2012-12-01,0,56
2013-01-01,0,29
2013-02-01,0,37
2013-03-01,0,39
2013-04-01,0,40
2013-05-01,0,49
2013-06-01,0,39
2013-07-01,0,67
2013-08-01,0,77
2013-09-01,0,22
2013-10-01,0,61
2013-11-01,0,57
2013-12-01,0,100
2014-01-01,0,49
2014-02-01,0,53
2014-03-01,0,48
2014-04-01,0,44
2014-05-01,0,90
2014-06-01,0,56
2014-07-01,0,49
2014-08-01,0,60
2014-09-01,0,78
2014-10-01,0,44
2014-11-01,0,51
2014-12-01,0,94
2015-01-01,0,61
2015-02-01,0,50
2015-03-01,0,32
2015-04-01,0,84
2015-05-01,0,50
2015-06-01,0,56
2015-07-01,0,65
2015-08-01,0,91
2015-09-01,0,80
2015-10-01,0,68
2015-11-01,0,100
2015-12-01,0,70
2016-01-01,0,50
2016-02-01,0,62
2016-03-01,0,66
2016-04-01,0,60
2016-05-01,0,90
2016-06-01,0,96
2016-07-01,0,73
2016-08-01,0,52
2016-09-01,0,67
2016-10-01,0,71
2016-11-01,0,56
2016-12-01,0,68
2017-01-01,0,85
