date,who has viewed my facebook profile,how to change facebook privacy settings
2011-01-01,33,21
2011-02-01,29,12
2011-03-01,33,22
2011-04-01,37,14
2011-05-01,40,17
2011-06-01,25,22
2011-07-01,21,20
2011-08-01,26,29
2011-09-01,32,60
2011-10-01,15,55
2011-11-01,14,48
2011-12-01,14,42
2012-01-01,20,39
2012-02-01,20,51
2012-03-01,23,41
2012-04-01,17,51
2012-05-01,27,48
2012-06-01,27,44
2012-07-01,29,41
2012-08-01,18,75
2012-09-01,29,100
2012-10-01,25,90
2012-11-01,23,66
2012-12-01,33,64
2013-01-01,21,54
2013-02-01,24,50
2013-03-01,22,49
2013-04-01,16,42
2013-05-01,20,44
2013-06-01,21,50
2013-07-01,18,51
2013-08-01,21,45
2013-09-01,19,47
2013-10-01,17,48
2013-11-01,17,38
2013-12-01,19,39
2014-01-01,23,40
2014-02-01,21,28
2014-03-01,14,33
2014-04-01,19,38
2014-05-01,23,36
2014-06-01,25,37
2014-07-01,21,32
2014-08-01,22,47
2014-09-01,21,32
2014-10-01,26,36
2014-11-01,22,28
2014-12-01,23,27
2015-01-01,21,34
2015-02-01,18,29
2015-03-01,28,29
2015-04-01,18,32
2015-05-01,16,33
2015-06-01,17,34
2015-07-01,23,34
2015-08-01,18,36
2015-09-01,18,29
2015-10-01,18,24
2015-11-01,18,31
2015-12-01,23,32
2016-01-01,29,33
2016-02-01,18,29
2016-03-01,19,27
2016-04-01,24,25
2016-05-01,16,26
2016-06-01,15,30
2016-07-01,16,35
2016-08-01,17,33
2016-09-01,20,28
2016-10-01,20,28
2016-11-01,19,26
2016-12-01,14,25
2017-01-01,30,29
