date,top 9 friends on facebook
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,12
2011-07-01,13
2011-08-01,15
2011-09-01,16
2011-10-01,10
2011-11-01,10
2011-12-01,10
2012-01-01,9
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,9
2012-09-01,8
2012-10-01,8
2012-11-01,8
2012-12-01,8
2013-01-01,12
2013-02-01,16
2013-03-01,20
2013-04-01,85
2013-05-01,85
2013-06-01,96
2013-07-01,96
2013-08-01,100
2013-09-01,72
2013-10-01,86
2013-11-01,58
2013-12-01,30
2014-01-01,30
2014-02-01,33
2014-03-01,30
2014-04-01,37
2014-05-01,24
2014-06-01,39
2014-07-01,17
2014-08-01,29
2014-09-01,18
2014-10-01,26
2014-11-01,43
2014-12-01,27
2015-01-01,39
2015-02-01,27
2015-03-01,16
2015-04-01,25
2015-05-01,32
2015-06-01,43
2015-07-01,37
2015-08-01,54
2015-09-01,35
2015-10-01,24
2015-11-01,33
2015-12-01,29
2016-01-01,20
2016-02-01,18
2016-03-01,18
2016-04-01,18
2016-05-01,14
2016-06-01,25
2016-07-01,23
2016-08-01,23
2016-09-01,30
2016-10-01,26
2016-11-01,28
2016-12-01,22
2017-01-01,23
