date,how to encrypt email
2011-01-01,36
2011-02-01,47
2011-03-01,46
2011-04-01,41
2011-05-01,44
2011-06-01,42
2011-07-01,50
2011-08-01,44
2011-09-01,41
2011-10-01,34
2011-11-01,29
2011-12-01,41
2012-01-01,38
2012-02-01,47
2012-03-01,45
2012-04-01,35
2012-05-01,40
2012-06-01,41
2012-07-01,42
2012-08-01,45
2012-09-01,50
2012-10-01,57
2012-11-01,48
2012-12-01,41
2013-01-01,55
2013-02-01,69
2013-03-01,60
2013-04-01,54
2013-05-01,59
2013-06-01,73
2013-07-01,64
2013-08-01,71
2013-09-01,64
2013-10-01,57
2013-11-01,61
2013-12-01,43
2014-01-01,57
2014-02-01,72
2014-03-01,69
2014-04-01,53
2014-05-01,68
2014-06-01,65
2014-07-01,74
2014-08-01,67
2014-09-01,70
2014-10-01,60
2014-11-01,57
2014-12-01,60
2015-01-01,70
2015-02-01,73
2015-03-01,78
2015-04-01,67
2015-05-01,66
2015-06-01,57
2015-07-01,64
2015-08-01,76
2015-09-01,78
2015-10-01,72
2015-11-01,63
2015-12-01,68
2016-01-01,70
2016-02-01,78
2016-03-01,94
2016-04-01,92
2016-05-01,81
2016-06-01,81
2016-07-01,83
2016-08-01,85
2016-09-01,84
2016-10-01,92
2016-11-01,86
2016-12-01,77
2017-01-01,100
